time,consumption
2018-01-07 01:00:00,0.68
2018-01-07 02:00:00,0.5
2018-01-07 03:00:00,0.48
2018-01-07 04:00:00,0.47
2018-01-07 05:00:00,0.52
2018-01-07 06:00:00,0.54
2018-01-07 07:00:00,0.53
2018-01-07 08:00:00,0.52
2018-01-07 09:00:00,1.02
2018-01-07 10:00:00,1.32
2018-01-07 11:00:00,1.63
2018-01-07 12:00:00,2.91
2018-01-07 13:00:00,2.87
2018-01-07 14:00:00,2.12
2018-01-07 15:00:00,1.25
2018-01-07 16:00:00,2.19
2018-01-07 17:00:00,3.26
2018-01-07 18:00:00,4.9
2018-01-07 19:00:00,2.1
2018-01-07 20:00:00,1.66
2018-01-07 21:00:00,2.34
2018-01-07 22:00:00,1.16
2018-01-07 23:00:00,0.71
