time,generation
2018-01-05 06:00:00,0.0
2018-01-05 07:00:00,0.04
2018-01-05 08:00:00,0.26
2018-01-05 09:00:00,0.87
2018-01-05 10:00:00,1.88
2018-01-05 11:00:00,4.76
2018-01-05 12:00:00,4.81
2018-01-05 13:00:00,4.65
2018-01-05 14:00:00,4.11
2018-01-05 15:00:00,3.0
2018-01-05 16:00:00,1.41
2018-01-05 17:00:00,0.19
2018-01-05 18:00:00,0.0
2018-01-05 19:00:00,0.0
2018-01-05 20:00:00,0.0
2018-01-05 21:00:00,0.0
2018-01-05 22:00:00,0.0
2018-01-05 23:00:00,0.0
2018-01-06 00:00:00,0.0
2018-01-06 01:00:00,0.0
2018-01-06 02:00:00,0.01
2018-01-06 03:00:00,0.0
2018-01-06 04:00:00,0.01
2018-01-06 05:00:00,0.0
2018-01-06 06:00:00,0.0
2018-01-06 07:00:00,0.0
2018-01-06 08:00:00,0.19
2018-01-06 09:00:00,0.56
2018-01-06 10:00:00,1.8
2018-01-06 11:00:00,4.23
2018-01-06 12:00:00,4.6
2018-01-06 13:00:00,1.92
2018-01-06 14:00:00,0.88
2018-01-06 15:00:00,0.73
2018-01-06 16:00:00,0.38
2018-01-06 17:00:00,0.04
2018-01-06 18:00:00,0.0
2018-01-06 19:00:00,0.0
2018-01-06 20:00:00,0.0
2018-01-06 21:00:00,0.0
2018-01-06 22:00:00,0.0
2018-01-06 23:00:00,0.0
2018-01-07 00:00:00,0.0
2018-01-07 01:00:00,0.0
2018-01-07 02:00:00,0.01
2018-01-07 03:00:00,0.01
2018-01-07 04:00:00,0.01
2018-01-07 05:00:00,0.01
2018-01-07 06:00:00,0.0
2018-01-07 07:00:00,0.0
2018-01-07 08:00:00,0.09
2018-01-07 09:00:00,0.73
2018-01-07 10:00:00,0.84
2018-01-07 11:00:00,0.77
2018-01-07 12:00:00,0.61
2018-01-07 13:00:00,0.32
2018-01-07 14:00:00,0.23
2018-01-07 15:00:00,0.22
2018-01-07 16:00:00,0.11
2018-01-07 17:00:00,0.01
2018-01-07 18:00:00,0.01
2018-01-07 19:00:00,0.0
2018-01-07 20:00:00,0.0
2018-01-07 21:00:00,0.0
2018-01-07 22:00:00,0.0
2018-01-07 23:00:00,0.0
